id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year
56783,False,Tehran,Saturday 01PM,"galaxi samsung S5
بسیار تمیز
چند ماه کارکرد
نوروزی$NUM",0,NA,web,750000,samsung S5,NA,NA
56845,False,Mashhad,Thursday 05PM,"یک عدد گوشی سونی Z3 پلاس در حد آک بفروش میرسد
رنگ مسی بسیار تمیز بدون خط و خش و نقطه بدون تعمیر شدگی و بازشدگی و هیچ گونه مشکل دیگر
دوربین 21 بسیار قدرتمند با قابلیت فیلم برداری 4K
سی پی یو 8 هسته ای Snapdragon 810
رم 3 گیگابایت
حافظه داخلی 32 گیگ
کیفیت تصویر فوقالعاده شفاف
مقاوم در برابر آب و گرد و غبار
بدون داغ شدگی و هنگی تضمینی
علت فروش خرید آیفون 6",1,NA,web,900000,فروش گوشی سونی Z3+ coper در حد آک,NA,NA
56996,False,Kermanshah,Sunday 12PM,گوشیs6 32Gig سالم و بهشرط بسیار سالم,0,NA,mobile,1200000,گوشیs6 samsong 32 Gig درحد آک,NA,NA
57070,True,Karaj,Saturday 12AM,"ایفون 4اس 64گیگ سفید در حد نو بدن زدگی و لکه با ضمانت بهتون میدم هیچ مشکلی نداره گوشی جدید گرفتم بیا هر چند ساعت میخوای تست کن.
لوازم کامل هدست پلمپ با محافظ صفحه اضافه سه تا قاب نو و شیک هر کدوم به ارزش 30تومن رو هم میدم.
اپل ای دی استفاده نشده اضافی اصلی دارم که 20تومن میفروشم.
یه کوچولو هم تخفیف سر معامله میدم.
معاوضه ندارم
عکس اضافی تو تلگرام میفرستم",1,NA,mobile,780000,ایفون 4اس 64گیگ درحد,NA,NA
57128,True,Shiraz,Friday 05AM,گوشی iphone se 64 رزگلد...در حد نو بدون خط و خش...,0,NA,mobile,1700000,iphone se 64,NA,NA
57442,True,Mashhad,Tuesday 07PM,یک عدد گوشی آیفون 7 کاملاً تمیز بدون خط و خش که در تاریخ 24/8/95 خریدم و بهترین وگرون ترین رنگش هم میباشد یعنی رنگ مشکی مات که تابه‌حال شارژ اولیه اش هم خالی نشده به همراه یک عدد قاب محافظ اسپیگن وتبدیل تنها فقط به قیمت$NUMتومان به فروش می‌رسد لازم به ذکر است که گوشی دارای مودم کوالکام به طور شانسی میباشد که30% قویتر از  مودم اینتل می باشد که در اکثر آیفون 7 ها کار شده و میتوانید در مورد این موضوع در اینترنت سرچ کنید. فقط تماس تلفنی را پاسخگو میباشم و از جواب گویی به اس ام اس ها معذورم.,1,NA,web,3200000,گوشی آیفون 7,NA,NA
57455,False,Tehran,Thursday 03AM,"پلمپ
18 ماه گارانتی ماکروتل
برچسب طلایی
کارت گارانتی اصلی
$NUM
فقط‌ نقد",3,NA,web,2210000,(Samsung Galaxy S7 Edge - Gold (32GB,NA,NA
57658,True,Tehran,Saturday 12PM,"16 gig
جعبه و شارژر 
از دو ناحیه ضربه خورده
سالم",2,NA,mobile,800000,ایفون 5s,NA,NA
57829,False,Shiraz,Friday 11AM,"آیفون 5s سفید رنگ
بدون هیچگونه خط و خش و ضربه
هـیچ خط و خشی روش نیست
هندزفری پولوم
شارژ اصلی
کارتن
گلس پشت و رو
فقط خریداری واقعی زنگ بزنه یا در واتس آپ پیام بده
تعویض نمیکنم فقط واسه فروش
ضمنا اس ام اس هم جواب نمیدم",1,NA,web,900000,فروش آیفون 5s سفید,NA,NA
57920,True,Tehran,Sunday 06AM,"گوشی رنگ  گلد  و بسیار تمیز
فقط و فقط تلگرام پیام بدید",1,NA,mobile,1000000,سامسونگ a8-32GiGمعاوضه با هرمدلی,NA,NA
58282,True,Tabriz,Friday 04AM,"iPhone 5c. 16gb سفید در حدآکبند!
بدون خط و خش و دقیقا عین نو
فول برنامه نصب شده، iOs$NUM
باکارتن و لوازم کامل

لطفا تماس تلفنی",5,NA,web,580000,Phone 5c. 16gb سفید در حدآکبند!,NA,NA
58343,True,Isfahan,Sunday 09AM,کاملا سالم و بدون ضربه بشرط تست 24 ساعت-گارانتی تا برج 12 دارد-کیف فابریک و گارد-فورجی-*****قیمت مقطوع-تعویض ندارم-فقط تماس پاسخگو هستم****,2,NA,web,730000,ال جی G3 4G,NA,NA
58568,True,Mashhad,Saturday 02AM,سلام کوشی تمیزه و بجز شارژر لوازم تکمیل.سری اول هستش تری جی و ساخت مکزیک.قیمتو پایین زدم پس واسه تخفیف زنک نزنید.خواهشا اگه گوشیو میشناسی پیام بده  ممنون یا حق,2,NA,mobile,280000,زد ١٠ فروش يا معاوضه,NA,NA
59429,True,Qom,Tuesday 11PM,"تلفن همراه سامسونگ به رنگ مشکی و دارای قلم 
تلفن همراه قرمز ساده سامسونگ
هر دو شارژر هم دارند",2,NA,mobile,-1,دو عدد تلفن همراه سامسونگ,NA,NA
59431,True,Tehran,Sunday 12PM,گوشی سالم باز نشده لوازم کامل و فابریک,1,NA,mobile,-1,هواوی G700,NA,NA
59523,False,Tehran,Friday 06AM,"مشکی
بدون خش
در حد
١٢٨ گیگ
فقط فروش
بدون معاوضه",0,NA,web,2000000,آیفون ٦پلاس ١٢٨گیگ,NA,NA
59594,True,Shiraz,Tuesday 02PM,سفید . ۳۲ گیگ .تک سیم. در حد آک . فقط و فقط فروش هست. قیمت عالی گذاشتم فروش بره . به مشتری واقعی تخفیف هم میدم . مرسی از دیوار,1,NA,mobile,1070000,گلکسی s6,NA,NA
59718,True,Tehran,Wednesday 08PM,"سامسونگ کربی ۲ 
وای فای داره
رم میخوره
دوربین ۲
باتری ۴ روز نگه میداره.
بدون خطو خش
برای دیدن عکس از تلگرام پیام بدید عکس نمیشه گذوشت.",0,NA,web,105000,سامسونگ کربی ۲,NA,NA
59814,True,Tehran,Tuesday 03PM,گوشی  کاملا سالمه بدون خط و خش به مشتری واقعی تخفیف جزئی میدم.....,0,NA,mobile,2000000,فروش گوشی اپل 7,NA,NA
